instance name;fleet name;opt?;RN solved?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes;Pieces RN;Pieces BPC
Cdp202;1vehc1pcs100perc;true;true;10201.1;10201.1;10191.3;10201.1;270.77;202.505;270.77;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 43 42 41 48 101 ) ,5: (0 88 84 86 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 90 101 ) ,;0,53029271,0,0,0,0,0,0,0,0;0,70278175,0,0,0,0,0,0,0,0
Cdp203;1vehc1pcs100perc;true;true;10178.3;10178.3;10127.9;10178.3;3406.48;1263.45;3406.48;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 ) ,5: (0 90 86 88 84 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 101 ) ,;0,243093476,0,0,0,0,0,0,0,0;0,630103705,0,0,0,0,0,0,0,0
Cdp204;1vehc1pcs100perc;false;false;1E+11;-2.49999E+13;-2.49999E+13;-1000000000;3600;3600;3600;3600;1;0;0,449891036,0,0,0,0,0,0,0,0;0,338637832,0,0,0,0,0,0,0,0
Cdp205;1vehc1pcs100perc;true;true;10231.8;10231.8;10215.9;10231.8;301.12;244.691;301.12;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 ) ,5: (0 86 84 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 88 90 101 ) ,;0,85368624,0,0,0,0,0,0,0,0;0,106003675,0,0,0,0,0,0,0,0
Cdp206;1vehc1pcs100perc;true;true;10213.1;10213.1;10172.1;10213.1;383.093;176.223;383.093;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 ) ,5: (0 86 88 84 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 90 101 ) ,;0,57051967,0,0,0,0,0,0,0,0;0,103777908,0,0,0,0,0,0,0,0
Cdp207;1vehc1pcs100perc;true;true;10155.7;10155.7;10082.6;10155.7;1178.75;211.948;1178.75;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 17 18 19 16 14 12 15 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 ) ,4: (0 86 84 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,5: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 91 88 90 101 ) ,;0,58633177,0,0,0,0,0,0,0,0;0,175166363,0,0,0,0,0,0,0,0
Cdp208;1vehc1pcs100perc;true;true;10219.9;10219.9;10189.4;10219.9;286.521;155.31;286.521;3600;1;1: (0 20 24 29 6 32 33 31 35 37 38 39 36 34 28 26 23 25 21 101 ) ,2: (0 22 27 30 18 19 16 14 12 15 17 13 9 11 10 8 101 ) ,3: (0 67 63 62 74 72 61 64 66 69 101 ) ,4: (0 68 65 49 55 54 53 56 58 60 59 57 40 44 46 45 51 50 52 47 42 41 43 48 101 ) ,5: (0 91 88 86 84 83 82 85 76 71 70 73 80 79 81 78 77 87 96 101 ) ,6: (0 93 5 75 2 1 99 100 97 92 94 95 98 7 3 4 89 90 101 ) ,;0,43017595,0,0,0,0,0,0,0,0;0,71690267,0,0,0,0,0,0,0,0
RCdp101;1vehc1pcs100perc;true;true;25003.7;25003.7;24833.7;25003.7;2.77308;0.690165;2.77288;3600;1;1: (0 2 7 6 8 46 4 100 101 ) ,2: (0 14 47 15 16 17 13 101 ) ,3: (0 31 27 29 34 50 101 ) ,4: (0 33 30 28 26 32 93 101 ) ,5: (0 42 44 43 37 35 101 ) ,6: (0 45 5 3 1 70 101 ) ,7: (0 59 75 58 77 101 ) ,8: (0 61 81 54 96 101 ) ,9: (0 64 51 76 89 91 101 ) ,10: (0 65 52 57 22 49 20 24 101 ) ,11: (0 69 98 88 53 55 68 101 ) ,12: (0 72 39 36 40 38 41 101 ) ,13: (0 73 79 78 60 101 ) ,14: (0 82 12 11 9 10 101 ) ,15: (0 83 23 21 19 18 48 25 101 ) ,16: (0 90 101 ) ,17: (0 92 62 67 71 94 80 101 ) ,18: (0 95 63 85 84 56 66 101 ) ,19: (0 99 86 87 97 74 101 ) ,;0,420207,0,0,0,0,0,0,0,0;0,1241248,0,0,0,0,0,0,0,0
RCdp102;1vehc1pcs100perc;true;true;23581.6;23581.6;23041.8;23545.1;135.682;2.16063;53.6246;3600;29;1: (0 2 45 1 3 5 8 46 4 100 70 101 ) ,2: (0 11 15 16 9 10 13 17 12 101 ) ,3: (0 14 47 73 79 6 7 55 101 ) ,4: (0 27 26 28 32 89 101 ) ,5: (0 39 36 40 38 41 54 96 101 ) ,6: (0 42 44 43 35 37 72 101 ) ,7: (0 50 33 30 29 31 34 91 101 ) ,8: (0 61 81 68 101 ) ,9: (0 64 19 49 22 20 24 101 ) ,10: (0 65 57 86 74 52 82 101 ) ,11: (0 69 88 53 78 60 98 101 ) ,12: (0 83 23 18 48 21 25 77 101 ) ,13: (0 90 101 ) ,14: (0 92 62 67 71 93 94 80 101 ) ,15: (0 95 85 63 76 51 84 56 66 101 ) ,16: (0 99 87 59 97 75 58 101 ) ,;0,725116,0,0,0,0,0,0,0,0;0,43234496,0,0,0,0,0,0,0,0
RCdp103;1vehc1pcs100perc;true;true;22059.8;22059.8;21623.9;22025.5;1213.69;12.3857;405.554;3600;47;1: (0 2 45 1 3 5 8 6 55 101 ) ,2: (0 11 15 16 9 10 13 82 101 ) ,3: (0 19 18 48 21 23 25 77 101 ) ,4: (0 33 27 30 26 28 32 31 29 34 101 ) ,5: (0 39 36 35 37 72 54 81 101 ) ,6: (0 42 43 44 40 38 41 61 68 101 ) ,7: (0 64 51 76 89 63 85 80 101 ) ,8: (0 65 99 87 59 97 75 58 101 ) ,9: (0 69 98 53 78 73 17 47 14 12 101 ) ,10: (0 83 57 22 20 49 24 74 86 52 90 101 ) ,11: (0 88 60 79 7 46 4 100 70 101 ) ,12: (0 91 92 95 84 56 66 101 ) ,13: (0 94 62 50 67 71 93 96 101 ) ,;0,4947250,0,0,0,0,0,0,0,0;0,348650960,0,0,0,0,0,0,0,0
