instance name;fleet name;opt?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes
RCdp207;1vehc1pcs0perc;false;1.00E+11;9714.24;9527.22;9714.24;3600;76.743;3351.45;3600;1;0
RCdp208;1vehc1pcs0perc;false;1.00E+11;7786.83;7742.96;7786.83;3600;1504.92;2867.14;3600;1;0
Rdp101;1vehc1pcs0perc;true;16477;16477;16411.5;16440;1.16207;0.309212;0.650968;3600;13;1: (0 2 21 73 41 56 4 101 ) ,2: (0 5 83 61 85 37 93 101 ) ,3: (0 12 76 79 3 54 24 80 101 ) ,4: (0 14 44 38 43 13 101 ) ,5: (0 27 69 30 51 20 32 70 101 ) ,6: (0 28 29 78 34 35 77 101 ) ,7: (0 31 88 7 101 ) ,8: (0 33 81 50 68 101 ) ,9: (0 36 47 19 8 46 17 101 ) ,10: (0 39 23 67 55 25 101 ) ,11: (0 40 53 26 101 ) ,12: (0 45 82 18 84 60 89 101 ) ,13: (0 52 6 101 ) ,14: (0 59 99 94 96 101 ) ,15: (0 62 11 90 10 101 ) ,16: (0 63 64 49 48 101 ) ,17: (0 65 71 9 66 1 101 ) ,18: (0 72 75 22 74 58 101 ) ,19: (0 92 42 15 87 57 97 101 ) ,20: (0 95 98 16 86 91 100 101 ) ,
Rdp102;1vehc1pcs0perc;true;14766;14766;14766;14766;0.722539;0.722486;0.722486;3600;1;1: (0 18 101 ) ,2: (0 27 69 88 10 31 101 ) ,3: (0 28 76 79 54 24 80 12 101 ) ,4: (0 30 51 9 66 1 101 ) ,5: (0 36 47 19 8 46 17 93 59 101 ) ,6: (0 39 23 67 55 25 26 101 ) ,7: (0 40 53 101 ) ,8: (0 42 15 41 75 56 4 101 ) ,9: (0 50 33 29 78 34 35 77 101 ) ,10: (0 62 11 90 20 32 70 101 ) ,11: (0 63 64 49 48 82 7 52 101 ) ,12: (0 65 71 81 3 68 101 ) ,13: (0 73 22 74 72 21 101 ) ,14: (0 83 45 61 84 5 60 89 101 ) ,15: (0 87 57 2 58 101 ) ,16: (0 92 98 85 16 86 91 97 13 101 ) ,17: (0 94 96 99 6 101 ) ,18: (0 95 14 44 38 43 100 37 101 ) ,
Rdp103;1vehc1pcs0perc;true;12187;12187;12167.8;12187;12.3426;3.28409;12.3408;3600;1;1: (0 1 30 78 34 35 81 77 28 101 ) ,2: (0 2 22 74 72 73 58 101 ) ,3: (0 21 39 23 67 55 25 54 101 ) ,4: (0 27 69 88 8 46 17 5 60 89 101 ) ,5: (0 36 64 49 19 47 48 82 18 101 ) ,6: (0 40 53 101 ) ,7: (0 42 43 15 57 41 75 56 4 26 101 ) ,8: (0 50 33 3 76 79 29 24 68 80 12 101 ) ,9: (0 51 65 71 9 66 20 32 70 101 ) ,10: (0 52 7 62 11 63 90 10 31 101 ) ,11: (0 83 45 84 61 85 93 59 101 ) ,12: (0 92 98 14 44 38 86 16 91 100 37 101 ) ,13: (0 94 95 97 87 13 101 ) ,14: (0 96 99 6 101 ) ,
Rdp104;1vehc1pcs0perc;true;9842;9842;9695.19;9827.78;1101.2;22.6768;795.742;3600;5;1: (0 6 96 59 98 93 99 84 17 45 83 5 60 89 101 ) ,2: (0 18 82 48 46 8 47 36 49 19 7 101 ) ,3: (0 28 76 79 29 24 68 80 12 26 101 ) ,4: (0 42 43 15 57 2 41 22 74 73 21 40 58 101 ) ,5: (0 50 78 34 35 71 65 66 20 30 70 27 101 ) ,6: (0 52 88 62 11 64 63 90 32 10 31 101 ) ,7: (0 53 101 ) ,8: (0 69 1 51 9 81 33 3 77 101 ) ,9: (0 72 75 56 23 67 39 55 4 25 54 101 ) ,10: (0 92 14 44 38 86 16 61 85 91 100 37 101 ) ,11: (0 94 95 97 87 13 101 ) ,
Rdp105;1vehc1pcs0perc;true;13653;13653;13561.4;13651.1;5.58751;0.884794;4.35431;3600;5;1: (0 2 15 57 87 97 13 101 ) ,2: (0 5 45 83 99 94 6 101 ) ,3: (0 21 73 75 22 41 56 74 58 101 ) ,4: (0 27 69 76 50 1 101 ) ,5: (0 28 12 29 79 78 34 35 77 101 ) ,6: (0 31 30 51 9 81 3 68 24 80 101 ) ,7: (0 33 65 71 66 20 32 70 101 ) ,8: (0 42 14 44 38 86 43 100 91 93 101 ) ,9: (0 47 36 19 49 46 48 101 ) ,10: (0 52 82 8 84 17 60 89 101 ) ,11: (0 53 40 26 101 ) ,12: (0 59 95 92 98 16 61 85 37 96 101 ) ,13: (0 62 88 7 18 101 ) ,14: (0 63 64 11 90 10 101 ) ,15: (0 72 39 23 67 55 54 4 25 101 ) ,
Rdp106;1vehc1pcs0perc;true;12446;12446;12374.7;12444.7;31.8843;2.44097;24.8931;3600;5;1: (0 12 29 78 79 68 54 24 80 101 ) ,2: (0 21 72 39 23 67 55 4 25 26 101 ) ,3: (0 27 62 88 18 89 101 ) ,4: (0 28 76 40 53 101 ) ,5: (0 48 47 36 19 49 46 82 7 52 101 ) ,6: (0 50 33 65 71 66 20 32 70 1 101 ) ,7: (0 59 37 14 44 38 86 43 100 98 93 101 ) ,8: (0 63 64 11 90 10 31 101 ) ,9: (0 69 30 51 81 9 35 34 3 77 101 ) ,10: (0 73 41 22 75 56 74 2 58 101 ) ,11: (0 83 45 8 84 17 5 60 101 ) ,12: (0 94 92 42 15 57 87 97 95 13 101 ) ,13: (0 96 85 91 16 61 99 6 101 ) ,
Rdp107;1vehc1pcs0perc;true;10750;10750;10653.6;10745.4;284.962;7.3814;229.601;3600;5;1: (0 2 57 15 41 22 75 56 4 74 73 58 101 ) ,2: (0 21 72 39 23 67 55 25 54 26 101 ) ,3: (0 27 69 30 88 31 10 70 1 101 ) ,4: (0 28 76 79 78 29 24 68 80 12 101 ) ,5: (0 33 81 65 71 9 35 34 3 77 101 ) ,6: (0 40 53 101 ) ,7: (0 42 43 14 44 38 86 16 91 100 37 98 101 ) ,8: (0 46 36 64 49 19 47 48 82 18 101 ) ,9: (0 52 7 62 11 63 90 32 66 20 51 50 101 ) ,10: (0 60 5 45 8 83 84 17 61 85 93 101 ) ,11: (0 89 96 92 59 99 6 87 97 95 94 13 101 ) ,
Rdp108;1vehc1pcs0perc;false;1.00E+11;9460.45;9268;9447.71;3600;36.7651;1712.53;3600;30;0
